,0
-42531.8607937,45090.8439565
-41270.4588602,43684.6512127
-39644.9072022,42590.2613212
-37354.7609366,41653.5021013
-34499.6767144,40723.034819
-31385.8020379,39766.4843084
-28307.5605834,39066.6421814
-25371.852479,38797.8585754
-22669.1852884,38732.212965
-20390.8274545,38696.374184
-18670.9683494,38352.8772932
-17300.4406078,37595.354149
-16118.4003538,36494.7063281
-15176.1261716,35148.7541141
-14541.2930061,33911.755894
-14154.6439523,33041.2595454
-14171.8636581,32466.244777
-14599.0692743,32206.4615536
-15413.2304329,32335.5434241
-16501.2500062,32753.9262019
-17739.2912052,33288.7924696
-19299.354716,33937.7300674
-21272.0305716,34823.4486817
-23454.2662858,35842.9945588
-25599.3816782,36824.4898258
-27528.1659359,37873.4057302
-29323.8499934,38937.5869935
-30861.0921412,39939.5102296
-31999.6119051,40535.7163186
-32673.2318141,40920.7474587
-33141.1378433,41085.889005
-32918.4465741,42013.0969533
-32356.9368545,41991.4841747
-31532.094538,41210.8356582
-30408.031474,40064.9823362
-29071.5627927,38615.6780665
-27619.8626679,37020.6797532
-26036.3391177,35523.3935283
-24380.1739069,34128.6636216
-22623.7759387,32868.1185428
-20878.2568981,31673.130159
-19219.3048658,30521.9438134
-17825.8787828,29404.5692487
-16741.9219477,28338.579522
-15952.4580397,27440.3881208
-15291.03891,26505.0647679
-14723.506343,25580.2195555
-14687.2421507,25176.5414949
-14808.1684423,24934.9140164
-15186.9405714,24915.6202986
-15972.6671655,25034.9946441
-17049.1529324,25315.5020978
-17972.1559944,25478.1235016
-18771.7298751,25675.5392822
-19575.1150588,25984.9863233
-20340.0422692,26062.7481331
-20947.081478,25786.2692124
-21788.2698599,25361.9360546
-22970.0189854,24947.3069242
-24509.3939545,24794.1373518
-26336.275275,25005.1640219
-28382.0521061,25752.9377517
-30566.63509,26728.5282822
-32832.6016056,27834.4506799
-35202.7795592,29027.1365285
-37421.2418986,30129.7432605
-39544.0475057,31106.2765826
-41430.9686416,32061.0154884
-42995.7732931,32796.71517
-44340.3909816,33347.9682637
-45073.570027,33570.3692923
-45125.4648582,33602.913405
-44571.0566117,33465.0355567
-43239.1774691,32894.8139121
-41447.1548414,32050.4805786
-39329.6722018,31077.0319712
-36957.8632296,30311.4836059
-34450.0789495,29822.6374326
-31885.823151,29666.4324071
-29592.8696564,29471.7886405
-27643.3260599,29090.5063652
-25941.2345761,28277.540823
-24905.4978613,28902.2628333
-24522.2914119,28947.4603454
-25157.7395074,29112.3325923
-25957.3069953,29625.5061666
-27792.6858075,29990.5816013
-30041.4860731,30179.6673543
-32469.1224339,30562.5934405
-35102.3943022,31309.9840187
-37879.7720689,32139.9142364
-40583.1563359,32726.3661567
-43233.8471074,33363.6927361
-45733.1294573,34051.1606166
-47914.1885448,34723.3494457
-49720.5821608,35143.1162897
-51260.968026,35396.554407
-52567.4953325,35625.5811753
-53644.3795071,35739.3058674
-54327.8840131,35411.797286
-54566.2639792,34617.7668179
-54166.0338868,33708.9212987
-52684.8055006,32500.4920929
-50663.6304246,31172.8451297
-48497.1058018,29874.8892336
-46060.879023,28834.154594
-43535.2173023,28216.9229504
-40972.0273349,27916.6747049
-38295.301065,27545.1045245
-35596.3180948,27142.8324772
-33036.3194968,26832.317098
-30657.9578774,26623.7723217
-27808.5298381,26906.5280432
-24881.4110167,27452.1909849
-22773.4719297,27917.8450827
-21307.0931931,28449.4141983
-20150.8052568,28596.0436763
-19578.7550311,28692.4703245
-19619.5842305,29100.1219396
-20071.8567472,29856.250039
-20864.8642026,30727.4137152
